Name,Author,User Rating,Reviews,Genre,Price,Year
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,Non Fiction,9,2015
Fahrenheit 451,Ray Bradbury,4.6,10721,Fiction,8,2016
Fahrenheit 451,Ray Bradbury,4.6,10721,Fiction,8,2018
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,Fiction,15,2016
Fear: Trump in the White House,Bob Woodward,4.4,6042,Non Fiction,2,2018
Fifty Shades Darker,E L James,4.4,23631,Fiction,7,2012
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,Fiction,11,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,Fiction,14,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,Fiction,14,2013
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,Fiction,32,2012
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,Non Fiction,6,2018
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2014
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2015
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2016
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2017
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2018
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,Non Fiction,9,2010
Frozen (Little Golden Book),RH Disney,4.7,3642,Fiction,0,2014
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,Non Fiction,9,2010
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2011
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2012
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2013
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,Non Fiction,20,2010
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,Non Fiction,16,2013
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2015
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2016
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2017
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2018
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2019
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,Non Fiction,12,2019
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,Non Fiction,12,2018
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,Non Fiction,12,2019
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,Non Fiction,11,2009
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,Fiction,19,2015
Go the F**k to Sleep,Adam Mansbach,4.8,9568,Fiction,9,2011
Going Rogue: An American Life,Sarah Palin,4.6,1636,Non Fiction,6,2009
Gone Girl,Gillian Flynn,4,57271,Fiction,10,2012
Gone Girl,Gillian Flynn,4,57271,Fiction,10,2013
Gone Girl,Gillian Flynn,4,57271,Fiction,9,2014
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,Non Fiction,6,2019
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2009
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2010
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2011
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2012
Goodnight Moon,Margaret Wise Brown,4.8,8837,Fiction,5,2017
Goodnight Moon,Margaret Wise Brown,4.8,8837,Fiction,5,2018
Goodnight Moon,Margaret Wise Brown,4.8,8837,Fiction,5,2019
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,Fiction,7,2012
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,Fiction,7,2013
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,Non Fiction,10,2014
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,Fiction,14,2015
Guts,Raina Telgemeier,4.8,5476,Non Fiction,7,2019
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,Non Fiction,54,2016
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,Non Fiction,11,2013
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,Fiction,30,2016
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,Fiction,12,2016
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,Fiction,18,2019
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,Fiction,30,2017
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,Fiction,22,2016
Harry Potter Coloring Book,Scholastic,4.7,3564,Non Fiction,9,2015
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,Fiction,52,2016
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,Non Fiction,4,2009
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,Non Fiction,10,2011
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,Non Fiction,10,2012
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,Non Fiction,14,2016
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,Non Fiction,14,2017
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,Non Fiction,22,2018
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2014
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2015
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2016
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2017
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2018
Howard Stern Comes Again,Howard Stern,4.3,5272,Non Fiction,16,2019
Humans of New York,Brandon Stanton,4.8,3490,Non Fiction,15,2013
Humans of New York,Brandon Stanton,4.8,3490,Non Fiction,15,2014
Humans of New York : Stories,Brandon Stanton,4.9,2812,Non Fiction,17,2015
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,Non Fiction,17,2013
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,Non Fiction,7,2019
"I, Alex Cross",James Patterson,4.6,1320,Fiction,7,2009
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,Fiction,4,2017
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,Fiction,4,2019
If I Stay,Gayle Forman,4.3,7153,Fiction,9,2014
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,Non Fiction,21,2011
Inferno,Dan Brown,4.1,29651,Fiction,14,2013
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,Fiction,20,2011
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,Non Fiction,13,2019
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,Non Fiction,13,2018
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,Non Fiction,12,2019
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2011
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2012
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2013
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2014
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2015
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2016
JOURNEY TO THE ICE P,RH Disney,4.6,978,Fiction,0,2014
Joyland (Hard Case Crime),Stephen King,4.5,4748,Fiction,12,2013
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,Non Fiction,17,2017
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,Non Fiction,12,2013
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,Non Fiction,25,2012
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,Non Fiction,10,2011
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,Non Fiction,10,2012
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,Non Fiction,6,2014
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,Non Fiction,5,2015
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,Non Fiction,6,2016
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,Non Fiction,8,2018
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,Non Fiction,4,2013
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,Non Fiction,4,2014
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,Non Fiction,4,2015
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,Fiction,13,2018
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2013
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2014
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2015
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2016
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2017
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,Non Fiction,13,2013
Leonardo da Vinci,Walter Isaacson,4.5,3014,Non Fiction,21,2017
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,Non Fiction,6,2018
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,Non Fiction,15,2009
Life,Keith Richards,4.5,2752,Non Fiction,18,2010
Little Bee: A Novel,Chris Cleave,4.1,1467,Fiction,10,2010
Little Blue Truck,Alice Schertle,4.9,1884,Fiction,0,2014
Little Fires Everywhere,Celeste Ng,4.5,25706,Fiction,12,2018
Looking for Alaska,John Green,4.5,8491,Fiction,7,2014
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,Non Fiction,13,2011
Love You Forever,Robert Munsch,4.8,18613,Fiction,5,2014
Love You Forever,Robert Munsch,4.8,18613,Fiction,5,2015
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,Non Fiction,16,2018
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,Non Fiction,20,2014
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,Non Fiction,11,2017
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,Non Fiction,27,2009
Milk and Honey,Rupi Kaur,4.7,17739,Non Fiction,8,2016
Milk and Honey,Rupi Kaur,4.7,17739,Non Fiction,8,2017
Milk and Honey,Rupi Kaur,4.7,17739,Non Fiction,8,2018
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,Non Fiction,6,2017
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,Non Fiction,10,2014
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,Non Fiction,10,2015
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,Non Fiction,10,2016
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2010
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2011
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2012
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,Non Fiction,16,2019
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,Non Fiction,11,2019
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,Fiction,10,2009
Night (Night),Elie Wiesel,4.7,5178,Non Fiction,9,2016
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,Non Fiction,14,2012
Obama: An Intimate Portrait,Pete Souza,4.9,3192,Non Fiction,22,2017
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2012
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2013
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2014
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2015
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2016
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2017
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2018
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2019
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,Fiction,7,2015
Olive Kitteridge,Elizabeth Strout,4.2,4519,Fiction,12,2009
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,Non Fiction,13,2011
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,Non Fiction,13,2012
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,Non Fiction,9,2017
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,Fiction,13,2017
Orphan Train,Christina Baker Kline,4.6,21930,Fiction,11,2014
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,Non Fiction,20,2009
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,Non Fiction,20,2010
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,Non Fiction,5,2018
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,Non Fiction,5,2019
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,Fiction,2,2010
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,Fiction,27,2017
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,Fiction,27,2018
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,Fiction,27,2019
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,Fiction,9,2016
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,Non Fiction,10,2012
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,Non Fiction,10,2013
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2009
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2010
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2011
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2012
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2013
